No,判定,締切,残日数,補助金_公募名,対象地域,従業員条件,上限額円,判定理由,理由区分,JグランツID,URL
164,×,2026-12-29 00:00,115.7,【久留米市】中小企業止水板等設置事業費補助金（令和8年度）,福岡県,従業員数の制約なし,500000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYZ7MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYZ7MAP
165,△,2026-12-31 00:00,117.7,令和７年度ＮＢＣ災害・テロ対策設備整備補助事業,東京都,従業員数の制約なし,33762000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDQuHMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDQuHMAX
166,△,2026-12-31 23:59,118.7,女性の活躍推進に向けた職場環境改善奨励金　変更届,東京都,300名以下,1800000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDbYvMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbYvMAL
167,△,2026-12-31 23:59,118.7,女性活躍情報公開促進奨励金　変更届,東京都,100名以下,200000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDbYuMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbYuMAL
168,△,2026-12-31 23:59,118.7,建築ＧＸ・ＤX推進事業（令和８年度）【代表事業者及び事業者の登録】,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY7KMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY7KMAX
169,○,2027-01-14 23:59,132.7,中小企業の外国人従業員に対する研修等支援助成金（ウクライナ避難民採用企業コース）,東京都,従業員数の制約なし,500000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDK7OMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDK7OMAX
170,○,2027-01-14 23:59,132.7,中小企業の外国人従業員に対する研修等支援助成金（一般コース）,東京都,300名以下,250000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDK7NMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDK7NMAX
171,○,2027-01-14 23:59,132.7,令和8年度 中小企業の外国人従業員に対する研修等支援助成金（ウクライナ避難民採用企業コース）,東京都,従業員数の制約なし,500000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDe4nMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe4nMAD
172,○,2027-01-14 23:59,132.7,令和8年度 中小企業の外国人従業員に対する研修等支援助成金（一般コース）,東京都,300名以下,250000,基本属性と事業テーマが合致。公募要領の最終要件確認後に申請準備,候補,a0WJ200000CDe4iMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDe4iMAD
173,△,2027-01-15 23:59,133.7,令和７年度補正予算　商用車等の電動化促進事業,全国,従業員数の制約なし,17500000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDWZ9MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDWZ9MAP
174,△,2027-01-28 17:00,146.4,高度安全機械等導入支援補助金,全国,300名以下,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYq2MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYq2MAH
175,△,2027-01-29 00:00,146.7,令和８年度における都型放課後等デイサービス事業補助金,東京都,従業員数の制約なし,443200,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDa1RMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDa1RMAT
176,△,2027-01-29 17:00,147.4,ゼロエミッション実現に向けた経営推進支援事業 助成金,東京都,900名以下,15000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0W5h00000ZuemGEAR,https://www.jgrants-portal.go.jp/subsidy/a0W5h00000ZuemGEAR
177,△,2027-01-29 17:00,147.4,令和７年度（補正）　商用車等の電動化促進事業（建設機械）,全国 / 北海道 / 青森県 / 岩手県 / 宮城県 / 秋田県 / 山形県 / 福島県 / 茨城県 / 栃木県 / 群馬県 / 埼玉県 / 千葉県 / 東京都 / 神奈川県 / 新潟県 / 山梨県 / 長野県 / 富山県 / 石川県 / 福井県 / 岐阜県 / 静岡県 / 愛知県 / 三重県 / 滋賀県 / 京都府 / 大阪府 / 兵庫県 / 奈良県 / 和歌山県 / 鳥取県 / 島根県 / 岡山県 / 広島県 / 山口県 / 徳島県 / 香川県 / 愛媛県 / 高知県 / 福岡県 / 佐賀県 / 長崎県 / 熊本県 / 大分県 / 宮崎県 / 鹿児島県 / 沖縄県,従業員数の制約なし,1431000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXRpMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXRpMAP
178,△,2027-01-29 17:00,147.4,令和８年度子育て【宅配ボックス】,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYSPMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYSPMA5
179,×,2027-01-29 17:15,147.4,熊谷市中小企業SDGs経営・ジギョケイ策定支援奨励金,埼玉県,従業員数の制約なし,0,対象地域が埼玉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDXH1MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXH1MAP
180,△,2027-01-29 18:00,147.5,【令和８年度】ハイブリッド及び天然ガストラック・バス導入支援事業（環境配慮型先進トラック・バス導入加速事業）,全国,従業員数の制約なし,0,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDdPBMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdPBMA1
181,△,2027-01-29 23:59,147.7,デジタル証券（セキュリティトークン）市場拡大促進事業補助金,東京都,従業員数の制約なし,7500000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDMSsMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDMSsMAP
182,△,2027-01-29 23:59,147.7,令和8年度_低炭素型ディーゼルトラック普及加速化事業,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDZDCMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZDCMA5
183,△,2027-01-30 00:00,147.7,令和８年度フィンテック企業等に対するイノベーション支援事業（金融サービス事業化支援補助金）,東京都,従業員数の制約なし,4000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDMQvMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDMQvMAP
184,△,2027-01-31 23:59,149.7,岡崎ものづくり支援補助金（プラットフォーム活用事業）,愛知県,従業員数の制約なし,500000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW6MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW6MAP
185,△,2027-01-31 23:59,149.7,岡崎ものづくり支援補助金（依頼試験事業）,愛知県,従業員数の制約なし,500000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW3MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW3MAP
186,△,2027-01-31 23:59,149.7,岡崎ものづくり支援補助金（共同研究事業）,愛知県,従業員数の制約なし,500000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW2MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW2MAP
187,△,2027-01-31 23:59,149.7,岡崎ものづくり支援補助金（新製品共創事業）,愛知県,従業員数の制約なし,300000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW7MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW7MAP
188,△,2027-01-31 23:59,149.7,岡崎ものづくり支援補助金（知的財産権取得事業）,愛知県,従業員数の制約なし,300000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYW5MAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYW5MAP
189,×,2027-02-01 17:15,150.4,【大阪府和泉市】再エネ・省エネ機器設置促進事業補助金（事業者用）,大阪府,従業員数の制約なし,0,対象地域が大阪府で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYvPMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYvPMAX
190,△,2027-02-05 23:59,154.7,令和8年度テレワークトータルサポート助成金,東京都,従業員数の制約なし,2500000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYyhMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYyhMAH
191,△,2027-02-05 23:59,154.7,令和８年度乗降用リフト装置付バス利用支援補助金,東京都,従業員数の制約なし,50000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYUkMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYUkMAP
192,×,2027-02-19 17:00,168.4,自立・帰還支援雇用創出企業立地補助金（商業施設等復興整備補助事業）（十一次公募）,福島県,従業員数の制約なし,500000000,対象地域が福島県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdMCMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdMCMA1
193,×,2027-02-26 17:00,175.4,【堺市】余剰電力等活用型太陽光発電設備整備事業（堺エネルギー地産地消プロジェクト推進事業補助金）,大阪府,従業員数の制約なし,0,対象地域が大阪府で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYCmMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYCmMAP
194,×,2027-02-26 17:00,175.4,令和8年度　農林水産物認証取得支援事業（森林認証取得支援事業）補助金,東京都,従業員数の制約なし,400000,農業関係者向け,対象者,a0WJ200000CDY5VMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY5VMAX
195,△,2027-02-26 17:00,175.4,令和８年度子育て【建設型】初年度,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYSAMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYSAMA5
196,△,2027-02-26 17:00,175.4,令和８年度子育て【改修型】,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYSFMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYSFMA5
197,×,2027-02-26 17:00,175.4,小樽市省エネルギー診断補助金,北海道,従業員数の制約なし,50000,対象地域が北海道で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDbyyMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbyyMAD
198,×,2027-02-26 17:00,175.4,松戸市事業用省エネルギー設備等導入促進事業費補助金,千葉県,従業員数の制約なし,0,対象地域が千葉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDddUMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDddUMAT
199,×,2027-02-26 23:59,175.7,令和8年度　育児・介護との両立のためのテレワーク活用促進奨励金,東京都,300名以下,300000,介護・福祉事業者向け,対象者,a0WJ200000CDap3MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDap3MAD
200,△,2027-02-26 23:59,175.7,令和８年度サテライトオフィス勤務導入奨励金,東京都,従業員数の制約なし,100000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYa0MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYa0MAH
201,△,2027-02-26 23:59,175.7,令和８年度テレワーク定着強化奨励金,東京都,従業員数の制約なし,400000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYaAMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYaAMAX
202,△,2027-02-26 23:59,175.7,令和８年度ワーケーション勤務導入奨励金,東京都,従業員数の制約なし,100000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYa5MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYa5MAH
203,△,2027-02-26 23:59,175.7,東京都民間事業者に係る低公害・低燃費車導入促進補助金（補助金申請）,東京都,従業員数の制約なし,200000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDK76MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDK76MAH
204,×,2027-02-28 17:00,177.4,令和8年度岸和田市「市内丸ごとラボ」実証事業推進補助金,大阪府,従業員数の制約なし,1000000,対象地域が大阪府で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYvQMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYvQMAX
205,×,2027-02-28 17:15,177.4,【飯塚市】令和8年度外国人材受入環境整備事業費補助金,福岡県,従業員数の制約なし,150000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDXk9MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXk9MAH
206,×,2027-02-28 23:59,177.7,【長野県茅野市】製造業等労務環境改善・競争力強化促進補助金,長野県,300名以下,0,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY1VMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY1VMAX
207,×,2027-02-28 23:59,177.7,令和8年度 バス事業者人材開発支援奨励金,東京都,300名以下,1900000,特定運輸事業者向け,対象者,a0WJ200000CDYnpMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYnpMAH
208,△,2027-02-28 23:59,177.7,令和６年度補正予算　商用車等の電動化促進事業,全国,従業員数の制約なし,29500000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDL8JMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDL8JMAX
209,△,2027-02-28 23:59,177.7,女性の活躍推進に向けた職場環境改善奨励金　中止届,東京都,300名以下,1800000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDbYyMAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbYyMAL
210,×,2027-02-28 23:59,177.7,松山港利用促進インセンティブ補助金（荷主向け）,愛媛県,従業員数の制約なし,0,対象地域が愛媛県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdm6MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdm6MAD
211,△,2027-03-01 00:00,177.7,令和８年度スキルアップ支援事業,東京都,従業員数の制約なし,2500000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXEmMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXEmMAP
212,△,2027-03-01 00:00,177.7,令和８年度資格取得サポート助成金,東京都,従業員数の制約なし,1000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXMiMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXMiMAP
213,×,2027-03-01 17:15,178.4,川越市中小企業者等物価高騰対策経営改善支援金,埼玉県,従業員数の制約なし,100000,対象地域が埼玉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY6GMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY6GMAX
214,△,2027-03-01 23:59,178.7,令和８年度金融機関と連携したサステナビリティ経営促進事業（ＳＬＬ／ＰＩＦ）,東京都,従業員数の制約なし,2000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDa42MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDa42MAD
215,×,2027-03-12 17:15,189.4,橿原市業務改善支援補助金,奈良県,300名以下,100000,対象地域が奈良県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDbyzMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbyzMAD
216,×,2027-03-17 23:59,194.7,【長野県茅野市】受注及び販路開拓支援事業補助金,長野県,300名以下,0,対象地域が長野県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDY1kMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY1kMAH
217,△,2027-03-19 20:00,196.5,令和８年度SDGsファイナンス支援事業補助金(グリーンボンド/グリーンローン),全国,従業員数の制約なし,2000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDd5XMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDd5XMAT
218,△,2027-03-19 20:00,196.5,令和８年度SDGsファイナンス支援事業補助金(ソーシャルボンド/ソーシャルローン),全国,従業員数の制約なし,3000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdA6MAL,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdA6MAL
219,△,2027-03-19 20:00,196.5,令和８年度SDGsファイナンス支援事業補助金(トランジションボンド/トランジションローン),全国,従業員数の制約なし,1000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDd9xMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDd9xMAD
220,△,2027-03-19 20:00,196.5,令和８年度SDGsファイナンス支援事業補助金(ブルーボンド/ブルーローン),全国,従業員数の制約なし,5000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDd9wMAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDd9wMAD
221,△,2027-03-19 20:00,196.5,令和８年度SDGsファイナンス支援事業補助金(個人向けSDGs預金),全国,従業員数の制約なし,1000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDdABMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdABMA1
222,△,2027-03-23 17:00,200.4,【経済産業省】ものづくり・商業・サービス生産性向上促進補助金（21次締切）,全国,従業員数の制約なし,40000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDX4vMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDX4vMAH
223,△,2027-03-31 00:00,207.7,令和８年度東京港物流効率化等事業補助金,全国,従業員数の制約なし,272000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY72MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY72MAH
224,×,2027-03-31 09:55,208.1,【飯塚市】令和8年度海外展開支援事業費補助金,福岡県,300名以下,100000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDXk8MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXk8MAH
225,△,2027-03-31 12:00,208.2,民放ラジオ難聴解消支援事業（令和８年度公募）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXENMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXENMA5
226,△,2027-03-31 14:00,208.3,地上基幹放送等に関する耐災害性強化支援事業（令和８年度公募）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXFjMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXFjMAP
227,△,2027-03-31 16:00,208.4,【東海市】企業立地交付金（中小企業再投資交付金）,愛知県,従業員数の制約なし,0,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYfeMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYfeMAH
228,△,2027-03-31 16:00,208.4,【東海市】小規模企業等振興資金等信用保証料補助金,愛知県,300名以下,120000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYffMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYffMAH
229,△,2027-03-31 16:00,208.4,【東海市】東海市企業立地交付金（工場等新設交付金）,愛知県,従業員数の制約なし,0,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDYfdMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYfdMAH
230,△,2027-03-31 17:00,208.4,【内閣府】地方創生に資する利子補給制度（金融支援）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYCrMAP,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYCrMAP
231,×,2027-03-31 17:00,208.4,【埼玉県】埼玉県民間事業者CO₂排出削減設備導入補助金（緊急対策枠）,埼玉県,300名以下,5000000,対象地域が埼玉県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYUXMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYUXMA5
232,△,2027-03-31 17:00,208.4,【愛知県大府市】2026年度大府市カーボンニュートラル推進生産設備導入支援補助金（ユーティリティ設備）,愛知県,従業員数の制約なし,1000000,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDZz6MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZz6MAH
233,△,2027-03-31 17:00,208.4,【愛知県大府市】大府市産業立地の奨励措置,愛知県,従業員数の制約なし,0,愛知県に関連施設はあるが、制度上の事業所要件を要確認,地域,a0WJ200000CDZz2MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDZz2MAH
234,×,2027-03-31 17:00,208.4,がんばろう赤磐中小企業省エネ設備更新支援補助金,岡山県,900名以下,0,対象地域が岡山県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDdtHMAT,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDdtHMAT
235,△,2027-03-31 17:00,208.4,令和8年度省エネ型VOC排出削減設備導入促進事業,東京都,300名以下,20000000,事業テーマは関連するが、個別要件の確認が必要,追加要件,a0WJ200000CDY9gMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY9gMAH
236,△,2027-03-31 17:00,208.4,休廃止鉱山の鉱害防止に係るエネルギー使用合理化事業費補助金（令和８年度）【中国監督部】,全国,従業員数の制約なし,80000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYvnMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYvnMAH
237,△,2027-03-31 17:00,208.4,休廃止鉱山の鉱害防止に係るエネルギー使用合理化事業費補助金（令和８年度）【北海道監督部】,全国,従業員数の制約なし,80000000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDYviMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYviMAH
238,×,2027-03-31 17:00,208.4,古賀市温室効果ガス排出量可視化システム導入費補助金,福岡県,従業員数の制約なし,150000,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYfwMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYfwMAH
239,△,2027-03-31 17:00,208.4,地上基幹放送ネットワーク整備等事業（令和７年度補正予算及び令和８年度当初予算）,全国,従業員数の制約なし,0,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDXORMA5,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDXORMA5
240,△,2027-03-31 17:00,208.4,多摩市ふるさと納税を活用した資金調達支援事業補助金,東京都,従業員数の制約なし,0,補助金ではなく委託・調達型公募の可能性。受託要件を確認,公募種別,a0WJ200000CDYvXMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYvXMAX
241,×,2027-03-31 17:00,208.4,小郡市企業立地優遇制度,福岡県,従業員数の制約なし,0,対象地域が福岡県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDeTAMA1,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDeTAMA1
242,×,2027-03-31 17:00,208.4,岸和田市オフィス誘致補助金,大阪府,従業員数の制約なし,0,対象地域が大阪府で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDYvRMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDYvRMAX
243,×,2027-03-31 17:15,208.4,橿原市起業等スタートアップ補助金,奈良県,300名以下,500000,対象地域が奈良県で、確認済み本店・事業拠点条件に合わない,地域,a0WJ200000CDbz0MAD,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDbz0MAD
244,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和７年度補正）【中国監督部】,全国,従業員数の制約なし,1123811000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY91MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY91MAH
245,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和７年度補正）【中部監督部】,全国,従業員数の制約なし,1123811000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY8DMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY8DMAX
246,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和７年度補正）【九州監督部】,全国,従業員数の制約なし,1123811000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY9BMAX,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY9BMAX
247,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和７年度補正）【北海道監督部】,全国,従業員数の制約なし,1123811000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY7tMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY7tMAH
248,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和７年度補正）【四国支部】,全国,従業員数の制約なし,1123811000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY96MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY96MAH
249,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和７年度補正）【東北支部】,全国,従業員数の制約なし,1123811000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY7yMAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY7yMAH
250,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和７年度補正）【近畿支部】,全国,従業員数の制約なし,1123811000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY89MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY89MAH
251,△,2027-03-31 18:00,208.5,休廃止鉱山鉱害防止等工事費補助金（令和７年度補正）【関東監督部】,全国,従業員数の制約なし,1123811000,地域条件は通るが、ROOOMTECHとの事業適合性・応募者要件を詳細確認,適合性,a0WJ200000CDY88MAH,https://www.jgrants-portal.go.jp/subsidy/a0WJ200000CDY88MAH
